type;hab;no;DFV.NAME
Strande og strandenge;Strandvold med enårige planter;1210;
Strande og strandenge;Strandvold med flerårige planter;1220;
Strande og strandenge;Kystklint eller -klippe;1230;Rullestrand
Strande og strandenge;Enårig strandengsvegetation;1310;Nedre salteng
Strande og strandenge;Vadegræssamfund;1320;Vade
Strande og strandenge;Strandeng;1330;Strandoverdrev
Strande og strandenge;Indlandssalteng;1340;Øvre salteng
Kystklitter;Forklit;2110;Forklit og sandstrand
Kystklitter;Hvid klit;2120;Hvid klit
Kystklitter;Grå/grøn klit;2130;Grå klit / Grøn klit
Kystklitter;Klithede;2140;Klithede
Kystklitter;Havtornklit;2160;Klithede
Kystklitter;Grårisklit;2170;Klithede
Kystklitter;Klitlavning;2190;Klitlavning
Kystklitter;Enebærklit;2250;Klithede
Indlandsklitter, hede og krat;Visse-indlandsklit;2310;Grøn klit
Indlandsklitter, hede og krat;Revling-indlandsklit;2320;Grøn klit
Indlandsklitter, hede og krat;Græs-indlandsklit;2330;Grøn klit
Indlandsklitter, hede og krat;Våd hede;4010;Våd hede
Indlandsklitter, hede og krat;Tør hede;4030;Tør hede
Indlandsklitter, hede og krat;Enebærkrat;5130;Krat (fx med eg, hassel, eller tjørn)
Overdrev, eng og klipper;Tørt kalksandsoverdrev;6120;Tørt kalksandsoverdrev
Overdrev, eng og klipper;Kalkoverdrev;6210;Kalkrigt græsland / Kalkoverdrev
Overdrev, eng og klipper;Surt overdrev;6230;Surtrigt græsland / Surt overdrev
Overdrev, eng og klipper;Tidvis våd eng;6410;
Overdrev, eng og klipper;Indlandsklippe;8220;
Overdrev, eng og klipper;Indlandsklippe med pionerplanter;8230;
Moser;Aktiv højmose;7110;Højmose
Moser;Nedbrudt højmose;7120;Højmose
Moser;Hængesæk;7140;Hængesæk
Moser;Tørvelavning;7150;Højmose
Moser;Avneknippemose;7210;
Moser;Kildevæld;7220;Kildevæld
Moser;Rigkær;7230;Rigkær
Skove;Skovklit;2180;
Skove;Bøg på mor;9110;Bøg på mor
Skove;Bøg på mor med kristtorn;9120;Bøg på mor
Skove;Bøg på muld;9130;Bøg på muld
Skove;Bøg på kalk;9150;Bøg på kalk
Skove;Ege-blandskov;9160;Egeskov
Skove;Vinteregeskov;9170;Egeskov
Skove;Stilkegekrat;9190;Krat (fx med eg, hassel, eller tjørn)
Skove;Skovbevokset tørvemose;91D0;Skovbevokset tørvemose
Skove;Elle- og askeskov;9,10E+01;Elle- og askeskov
